customer_id,store_id
cus_aduytjr68y,sto_xwjzpagm9u
cus_cm8yr33xza,sto_emaphfmi7i
cus_6hlhknrauj,sto_4kmdyqfx90
cus_2x9ro5t7i7,sto_vxrr93bs9m
cus_80rur0416o,sto_wejnee9j7n
cus_9s85l27pvh,sto_crv59ea1fw
cus_l7pi08ks4o,sto_hw17dxhap4
cus_06gw9va0kl,sto_anur0l89hg
cus_uhm6bimzio,sto_xcx4vviwwt
cus_gin3two4dy,sto_klgxewwh77
cus_s7a480uhrw,sto_z4ogtjepi4
cus_92pjqvb3sj,sto_lahqud14vi
cus_txfrppof6m,sto_1jj9hogk52
cus_d52g6edgpk,sto_gfs0bv96l2
cus_e2yc53t3co,sto_8byz46rxnx
cus_njqo278iqb,sto_ugpruhujg9
cus_z13i1pxvtn,sto_c5uaz096u3
cus_5jbgaokt6t,sto_0kf1cofo9q
cus_j59lyiqnxc,sto_49c7e3hgnq
cus_prnjjfcvbl,sto_axhreoev07
cus_am5yerjs73,sto_o9me83uhgl
cus_5kv3afnco4,sto_iwz1hkk4mp
cus_svg08e89w9,sto_01oysq6a0j
cus_db8ddfqdvu,sto_23cg2fj4hf
cus_lg1m6mdyt8,sto_ps84hjq3t0
cus_i3wkovql87,sto_5j9xhyzlz8
cus_a5dxglv8u2,sto_es11g90vkj
cus_q1qdfoxh04,sto_lb2snwe1tj
cus_irbvtdmtfo,sto_8eykvfamsv
cus_h399c032pt,sto_nd9wt34bpk
cus_pur4bxfqzb,sto_9i1gnr5awk
cus_zab6k3707g,sto_c7ugwdw3ky
cus_b3cb328vr7,sto_3fkhqaa3tw
cus_3btpdmnink,sto_xpfr9m7vgr
cus_j3gfqmdz5c,sto_m3va2zhww7
cus_kt2bd5uqm5,sto_pwofgoxcnu
cus_c44a1weapk,sto_sm494w4pvi
cus_9pl3dhhuh2,sto_n5zhnoqrzp
cus_onj0089km8,sto_5y7n95ml66
cus_uly1rjceln,sto_waoinzqtg1
cus_56f3f4bz5e,sto_l7s0csa4n6
cus_plouuyqh36,sto_lahqud14vi
cus_b61za8tm4w,sto_5q684tpflq
cus_lfx76gn9pw,sto_lj5lbbs9fo
cus_r2gdy6xwuu,sto_xbgltdb3dt
cus_0qzs6g4obb,sto_x42sbyvahb
cus_q7ykigkdz7,sto_93vb71duqt
cus_p3pf6otlx5,sto_gm8zymmi3w
cus_6lohd0nosn,sto_ioryng2bdh
cus_gf7xyyoc9b,sto_waoinzqtg1
cus_v15yawe8ko,sto_briavur0qj
cus_edji6f0172,sto_ao2h7lzrhi
cus_5vo0jykhuh,sto_oxu6tfh4g9
cus_xwxmeoxkqh,sto_6jrpks1ax4
cus_x0gx0cvv2j,sto_vkj9rkpycb
cus_qg8cmfqb6w,sto_93vb71duqt
cus_6yn83i3ghg,sto_gm8zymmi3w
cus_0yx17j9ocl,sto_5qrgn5j0fa
cus_6zfc0nkqpa,sto_z69xdio6ez
cus_fo6gh3gncz,sto_tesirc1cml
cus_7332ydahbq,sto_cru3wicztw
cus_wu2e5uigro,sto_sqztciv77s
cus_ypt7e6agdd,sto_y38jmdvknj
cus_m8rkm4fkuz,sto_l7z99rye0l
cus_oxrh812bra,sto_tesirc1cml
cus_bn1ut77d1a,sto_bbb49hh7uo
cus_hp4gebdj8a,sto_emaphfmi7i
cus_czqh3h2rxi,sto_xzgawbkgnm
cus_tmse9x7hdh,sto_2kufsnrbtb
cus_i44gymergo,sto_a0c0n2trv3
cus_64isf951j8,sto_p6p9g21pb2
cus_x7i07o0050,sto_9i1gnr5awk
cus_zqp8z3nr1p,sto_xptll07z42
