item_id,cost,item_type
pro_js079tej51,12.91,almond protein blended cold brew
pro_2vibm80328,10.83,almond protein blended cold brew frappuccino
pro_zd8jtj3kpg,18.42,black and white hot cocoa frappuccino
pro_wagdbqiksn,28.6,black and white mocha
pro_oh6bbtwr3u,12.03,black and white mocha frappuccino
pro_9cqxdi675h,22.91,black and white mocha refresher
pro_o4e2nmzt49,29.33,blonde black and white mocha
pro_0620dkyebm,18.73,blonde black and white mocha frappuccino
pro_0q4kikgf32,16.47,blonde black and white mocha refresher
pro_4wmlrlc9qj,23.7,blonde caffe americano
pro_mw31we3i7z,8.53,blonde caffe americano frappuccino
pro_q7dnbfixnm,5.83,blonde caffe americano refresher
pro_ky3x7wsaop,13.8,blonde caffe latte
pro_7avbm8uh2i,25.93,blonde caffe latte frappuccino
pro_dcd03op1ly,6.94,blonde caffe latte refresher
pro_1d8e2q4l94,19.78,blonde cappuccino
pro_k35hjk0ff3,6.29,blonde cappuccino frappuccino
pro_rno9w9yixs,17.52,blonde cappuccino refresher
pro_97k81496ob,8.25,blonde caramel brule latte
pro_0pc058xgse,20.19,blonde caramel brule latte frappuccino
pro_hyvbjrypog,12.75,blonde caramel brule latte refresher
pro_l5caw8atp8,14.27,blonde chestnut praline latte
pro_a7uznrx8ap,6.57,blonde chestnut praline latte frappuccino
pro_uxzrx1tqur,24.4,blonde chestnut praline latte refresher
pro_b9qf87v5jf,20.07,blonde doubleshot on ice
pro_mf96bpyt0o,19.54,blonde doubleshot on ice frappuccino
pro_j0qvn1hh2a,21.45,blonde doubleshot on ice refresher
pro_ihduewwbck,21.59,blonde eggnog latte
pro_1ci5jltliy,13.81,blonde eggnog latte frappuccino
pro_kimmglw014,11.86,blonde eggnog latte refresher
pro_7ldt9c2fe8,12.44,blonde flat white
pro_lty5caabmr,25.28,blonde flat white frappuccino
pro_ubxfcn43ia,9.24,blonde flat white refresher
pro_2ytl7vn1gf,17.17,blonde gingerbread latte
pro_95zf72fahh,20.64,blonde gingerbread latte frappuccino
pro_zvpjqhta4v,17.91,blonde gingerbread latte refresher
pro_yl2bnxyxlc,18.83,blonde juniper latte
pro_ojj0f3i6wu,25.98,blonde juniper latte frappuccino
pro_al8w7705sr,13.23,blonde juniper latte refresher
pro_h8919emod4,13.65,blonde peppermint mocha
pro_3bgi23sv9c,9.15,blonde peppermint mocha frappuccino
pro_3pbk120fre,23.76,blonde peppermint mocha refresher
pro_jvxg6lq97t,10.18,blonde peppermint white chocolate mocha
pro_oiphwg14jo,17.99,blonde peppermint white chocolate mocha frappuccino
pro_gvvuuzjyfo,26.35,blonde peppermint white chocolate mocha refresher
pro_xpdrkmf69u,7.45,blonde roast
pro_4rqio2dxkx,9.21,blonde roast frappuccino
pro_l4dtfenoqo,9.59,blonde toasted white chocolate mocha
pro_yn1409p8mu,8.36,blonde toasted white chocolate mocha frappuccino
pro_tht5fn79l7,28.62,blonde toasted white chocolate mocha refresher
pro_p8m03695nt,23.5,blonde vanilla bean coconutmilk latte
pro_06529gvykc,16.37,blonde vanilla bean coconutmilk latte frappuccino
pro_e6ikch9i96,12.44,blonde vanilla bean coconutmilk latte refresher
pro_wcphax2mb6,7.88,blonde vanilla latte
pro_njdp6mehh4,5.59,blonde vanilla latte frappuccino
pro_ujukx14lx1,21.25,blonde vanilla latte refresher
pro_r6o11lw3xi,17.63,bottled black and white mocha
pro_mtsdzr6tuw,19.81,bottled blonde black and white mocha
pro_kffk9hxjsx,9.19,bottled blonde caffe americano
pro_6wgeymjqnk,19.72,bottled blonde caffe latte
pro_j3pn3dcuvd,10.11,bottled blonde cappuccino
pro_wdfyb67zou,6.03,bottled blonde caramel brule latte
pro_qthgac74hy,26.8,bottled blonde chestnut praline latte
pro_1yapcnnowb,25.68,bottled blonde doubleshot on ice
pro_1k0vnqb32t,19.72,bottled blonde eggnog latte
pro_5a8ufs8pmn,27.87,bottled blonde flat white
pro_jm53fmrrw9,24.31,bottled blonde gingerbread latte
pro_1fpyl120mp,11.86,bottled blonde juniper latte
pro_vt6g9iky6t,27.87,bottled blonde peppermint mocha
pro_7yo064omp3,14.7,bottled blonde peppermint white chocolate mocha
pro_qru5lamhnp,29.58,bottled blonde toasted white chocolate mocha
pro_sj49cbrnbx,22.44,bottled blonde vanilla bean coconutmilk latte
pro_bxnakoh23y,10.21,bottled blonde vanilla latte
pro_ca0xxcagvk,14.89,bottled caffe americano
pro_drk6bwyiti,21.63,bottled caffe latte
pro_o7o6v9mno6,24.71,bottled caffe mocha
pro_cgezbad1jo,19.41,bottled cappuccino
pro_rlha8fpumf,23.51,bottled caramel brule latte
pro_2bdthbdr6j,17.04,bottled caramel frappuccino coffee drink
pro_rs4o7t51zr,12.13,bottled caramel macchiato
pro_kjb86nigwg,22.62,bottled chestnut praline latte
pro_at8h4se7pg,25.62,bottled cinnamon dolce latte
pro_uybhssa1nw,12.94,bottled cold brew black sweetened
pro_h84wgbs196,15.69,bottled cold brew black sweetened frappuccino
