store_id,offer_id,location,store_address
sto_5eruramlz9,off_r3bphqlohq,Ottawa,50 Rideau Street
sto_toamyk0qv2,off_m1kwhe5rie,Vancouver,999 Canada Place
sto_lj5lbbs9fo,off_0sz69cymnj,Winnipeg,1485 Portage Avenue
sto_fbmvmnnqtc,off_cc9spj6ah2,Calgary,350 7th Avenue SW
sto_0e0yfbojvj,off_n9dutx02kb,Toronto,2500 Bloor Street West
sto_93vb71duqt,off_kdn4c9f7t4,Montreal,1010 Saint Catherine St
sto_5ic69ng1o3,off_x06f7i1m87,Toronto,100 Front Street West
sto_0cjqvq2935,off_xn4zhxaj5h,Toronto,123 Yonge Street
sto_xbgltdb3dt,off_llmqpfprvx,Toronto,2500 Bloor Street West
sto_y38jmdvknj,off_3intdyc1jj,Hamilton,840 Queenston Road
sto_x42sbyvahb,off_bimtyvud8g,Kitchener,10 King Street East
sto_9i1gnr5awk,off_zwtca1mnyn,Montreal,1500 Atwater Ave
sto_5xe8ut3vjf,off_1fs9580xwl,Quebec City,600 Rue Saint-Joseph Est
sto_m9lgsvebke,off_oq6d1h46bd,Ottawa,50 Rideau Street
sto_ehcmsbb79o,off_l3faftj63d,Montreal,400 Saint Laurent Blvd
sto_e6j1blf5dj,off_j3f82zkdii,Quebec City,700 Rue Saint Jean
sto_wejnee9j7n,off_gqax5jnpf5,Calgary,800 Macleod Trail SE
sto_8x11tee8h3,off_396ibafvr7,Winnipeg,845 Dakota Street
sto_3636w08ktg,off_acozbjhekl,Quebec City,999 Avenue de Bourgogne
sto_f26hxvvuuf,off_zfhpghaq1j,Ottawa,99 Bank Street
sto_y58iyyh72b,off_9pgs0idijf,Quebec City,600 Rue Saint-Joseph Est
sto_tw40udpi4w,off_i6xda5ajuo,Hamilton,840 Queenston Road
sto_lb2snwe1tj,off_dzpjvex28n,Vancouver,200 Granville Street
sto_klgxewwh77,off_p1jquss2za,Vancouver,200 Granville Street
sto_bbb49hh7uo,off_gmr2t3ie1z,Montreal,1500 Atwater Ave
sto_tempcaf0ax,off_tkw032basy,Montreal,1500 Atwater Ave
sto_m3va2zhww7,off_6tysv9wv62,Quebec City,999 Avenue de Bourgogne
sto_brsm2bhtjx,off_cexml0myhk,Hamilton,840 Queenston Road
sto_x0tsssca53,off_3kvssf25vg,Toronto,123 Yonge Street
sto_xwjzpagm9u,off_5nswnfl5fg,Kitchener,200 Fairway Road South
sto_ttja06ns0x,off_4y3q4n6nsq,Ottawa,150 Elgin Street
sto_k4lzu7cyfw,off_e1d6x602c3,Hamilton,999 Upper Wentworth Street
sto_he9szri5wp,off_ttppk7nvtm,Edmonton,10200 102nd Avenue
sto_bgfzd32a6z,off_vr61i88uyh,Vancouver,999 Canada Place
sto_129cmbiebx,off_i1rjadzkwd,Montreal,400 Saint Laurent Blvd
sto_ye53nqj7st,off_108cju1f2e,Toronto,123 Yonge Street
sto_lzkji0j5e1,off_w2xw9hacsf,Calgary,800 Macleod Trail SE
sto_1jj9hogk52,off_9lxx3940g4,Montreal,1010 Saint Catherine St
sto_gm8zymmi3w,off_ihmj30fr0d,Vancouver,999 Canada Place
sto_y0fh86w8dm,off_w0qq6idfth,Quebec City,700 Rue Saint Jean
sto_qln5a86jnj,off_vdj2p7sjlh,Montreal,400 Saint Laurent Blvd
sto_axhreoev07,off_f2ockntqc6,Quebec City,600 Rue Saint-Joseph Est
sto_8ybwue0r79,off_t5m1sqxpqc,Toronto,100 Front Street West
sto_01oysq6a0j,off_9fm8gb1i3g,Toronto,123 Yonge Street
sto_j5uhi9revn,off_x04f0omg5t,Vancouver,999 Canada Place
sto_55le1127qn,off_ml3idmqapj,Quebec City,999 Avenue de Bourgogne
sto_pu0nbgsvr2,off_6iyysa7dqm,Edmonton,10200 102nd Avenue
sto_xh889j593o,off_fvy2yb8se6,Vancouver,999 Canada Place
sto_pwofgoxcnu,off_kt4ukgyuhj,Toronto,100 Front Street West
sto_ilxt8871er,off_14almnnl4g,Quebec City,600 Rue Saint-Joseph Est
sto_ifga3v69e0,off_pk8ott0po8,Calgary,800 Macleod Trail SE
sto_t79uorvfp1,off_xob3riixtw,Vancouver,200 Granville Street
sto_3jjcrv2hhc,off_qt9wl4wsoj,Edmonton,8882 170 Street NW
sto_3jhgsn61ta,off_mn545z9ump,Vancouver,555 Burrard Street
sto_zj55t9376n,off_ibw8gfa2em,Hamilton,100 King Street West
sto_v13h1uip1a,off_4ai7mholso,Kitchener,10 King Street East
sto_eljrobpi2p,off_20jdtzh9f3,Winnipeg,845 Dakota Street
sto_ln6ywg6guk,off_ljdaiuymvx,Ottawa,150 Elgin Street
sto_rkus0lbfny,off_unr28ycay3,Montreal,1500 Atwater Ave
sto_oxu6tfh4g9,off_yuv280a1uj,Kitchener,200 Fairway Road South
sto_17x9fxl43s,off_qm6045fc2k,Quebec City,999 Avenue de Bourgogne
sto_v2svk9sdof,off_oltd5tzuh7,Winnipeg,845 Dakota Street
sto_uadp2z5taq,off_5y57x62tw2,Vancouver,200 Granville Street
sto_d99trdmziu,off_wmw5c6a7ow,Toronto,100 Front Street West
sto_pz3z7tw53z,off_s5h8lr5zfm,Kitchener,500 Highland Road West
sto_xcx4vviwwt,off_tfujgcls0q,Kitchener,500 Highland Road West
sto_002dogti2k,off_2tg6mqipge,Toronto,100 Front Street West
sto_bxblvepght,off_mv29eyd9ym,Ottawa,150 Elgin Street
